Date sampling ;Project;Morph;Morph initial;Number;Site;Number of tubes;Vol/tubes of Shield (ml);Localisation;Bag physio;Number of piece physio;Localisation;Skeleton ;Number of piece skeleton;Localisation;Pictures ;Localisation
20240325;FLOW;P.verrucosa;PV;1;HAAPITI ;1;0.75;URI;1;1;Moorea;1;2;URI;FLOW_PV_001;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.verrucosa;PV;2;HAAPITI ;1;0.75;URI;2;1;Moorea;1;2;URI;FLOW_PV_002;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.verrucosa;PV;3;HAAPITI ;1;0.75;URI;3;1;Moorea;1;2;URI;FLOW_PV_003;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.verrucosa;PV;4;HAAPITI ;1;0.75;URI;4;1;Moorea;1;2;URI;FLOW_PV_004;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.verrucosa;PV;5;HAAPITI ;1;0.75;URI;5;1;Moorea;1;2;URI;FLOW_PV_005;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.grandis;PG;7;HAAPITI ;1;0.75;URI;7;1;Moorea;1;2;URI;FLOW_PG_007;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.grandis;PG;8;HAAPITI ;1;0.75;URI;8;1;Moorea;1;2;URI;FLOW_PG_008;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.grandis;PG;9;HAAPITI ;1;0.75;URI;9;1;Moorea;1;2;URI;FLOW_PG_009;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.grandis;PG;10;HAAPITI ;1;0.75;URI;10;1;Moorea;1;2;URI;FLOW_PG_010;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.grandis;PG;11;HAAPITI ;1;0.75;URI;11;1;Moorea;1;2;URI;FLOW_PG_011;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.tuahiniensis;PT;13;HAAPITI ;1;0.75;URI;13;1;Moorea;1;2;URI;FLOW_PT_013;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.tuahiniensis;PT;14;HAAPITI ;1;0.75;URI;14;1;Moorea;1;2;URI;FLOW_PT_014;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.tuahiniensis;PT;15;HAAPITI ;1;0.75;URI;15;1;Moorea;1;2;URI;FLOW_PT_015;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.tuahiniensis;PT;16;HAAPITI ;1;0.75;URI;16;1;Moorea;1;2;URI;FLOW_PT_016;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.tuahiniensis;PT;17;HAAPITI ;1;0.75;URI;17;1;Moorea;1;2;URI;FLOW_PT_017;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.meandrina;PM;19;HAAPITI ;1;0.75;URI;19;1;Moorea;1;2;URI;FLOW_PM_019;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.meandrina;PM;20;HAAPITI ;1;0.75;URI;20;1;Moorea;1;2;URI;FLOW_PM_020;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.meandrina;PM;21;HAAPITI ;1;0.75;URI;21;1;Moorea;1;2;URI;FLOW_PM_021;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.meandrina;PM;22;HAAPITI ;1;0.75;URI;22;1;Moorea;1;2;URI;FLOW_PM_022;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240325;FLOW;P.meandrina;PM;23;HAAPITI ;1;0.75;URI;23;1;Moorea;1;2;URI;FLOW_PM_023;https://drive.google.com/drive/u/0/folders/1q4htxpXPBGsIjnmUe9OMSlPmEN_84USN
20240326;FLOW;P.meandrina;PM;25;MANAVA;1;0.75;URI;25;1;Moorea;1;2;URI;FLOW_PM_025;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.meandrina;PM;26;MANAVA;1;0.75;URI;26;1;Moorea;1;2;URI;FLOW_PM_026;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.meandrina;PM;27;MANAVA;1;0.75;URI;27;1;Moorea;1;2;URI;FLOW_PM_027;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.meandrina;PM;28;MANAVA;1;0.75;URI;28;1;Moorea;1;2;URI;FLOW_PM_028;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.meandrina;PM;29;MANAVA;1;0.75;URI;29;1;Moorea;1;2;URI;FLOW_PM_029;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.grandis;PG;30;MANAVA;1;0.75;URI;30;1;Moorea;1;2;URI;FLOW_PG_030;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.grandis;PG;31;MANAVA;1;0.75;URI;31;1;Moorea;1;2;URI;FLOW_PG_031;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.grandis;PG;32;MANAVA;1;0.75;URI;32;1;Moorea;1;2;URI;FLOW_PG_032;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.grandis;PG;33;MANAVA;1;0.75;URI;33;1;Moorea;1;2;URI;FLOW_PG_033;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.grandis;PG;34;MANAVA;1;0.75;URI;34;1;Moorea;1;2;URI;FLOW_PG_034;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.verrucosa;PV;35;MANAVA;1;0.75;URI;35;1;Moorea;1;2;URI;FLOW_PV_035;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.verrucosa;PV;36;MANAVA;1;0.75;URI;36;1;Moorea;1;2;URI;FLOW_PV_036;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.verrucosa;PV;37;MANAVA;1;0.75;URI;37;1;Moorea;1;2;URI;FLOW_PV_037;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.verrucosa;PV;38;MANAVA;1;0.75;URI;38;1;Moorea;1;2;URI;FLOW_PV_038;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.verrucosa;PV;39;MANAVA;1;0.75;URI;39;1;Moorea;1;2;URI;FLOW_PV_039;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.tuahiniensis;PT;40;MANAVA;1;0.75;URI;40;1;Moorea;1;2;URI;FLOW_PT_040;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.tuahiniensis;PT;41;MANAVA;1;0.75;URI;41;1;Moorea;1;2;URI;FLOW_PT_041;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.tuahiniensis;PT;42;MANAVA;1;0.75;URI;42;1;Moorea;1;2;URI;FLOW_PT_042;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.tuahiniensis;PT;43;MANAVA;1;0.75;URI;43;1;Moorea;1;2;URI;FLOW_PT_043;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
20240326;FLOW;P.tuahiniensis;PT;44;MANAVA;1;0.75;URI;44;1;Moorea;1;2;URI;FLOW_PT_044;https://drive.google.com/drive/u/0/folders/18k9Zp-J7nTt6J95L1x9TBo64Qhr60YtC
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
