sample,dataset,step,pixelsize,exp time,filter,energy,n_proj,angle end,average,reconstructed,algorithm,COR,overlap,remove stripe,sino_start,sino_end,proj_start,proj_end,Data_min,Data_max,phase_object,sdd,alpha,pad,recon_dir,note
,240525_pg011_36keV_180deg_0p09s_60mm_1p3um-20240525T163218,,1.3,,,36,3601,,,,gridrec,1278.5,370,,0,2160,0,3601,-0.0037,0.02288,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pg011_36keV_180deg_0p09s_60mm_1p3um-20240525T163218/recon_phase,
,240525_pg011_36keV_360deg_0p09s_60mm_1p3um_2-20240525T171423,,1.3,,,36,3601,,,,gridrec,1280,301,,0,2160,0,3601,0,0,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pg011_36keV_360deg_0p09s_60mm_1p3um_2-20240525T171423/recon_phase,
,240525_pv036_w1_36keV_180deg_0p09s_60mm_1p3um_test_artefacts-20240525T210736,,1.3,,,36,2001,,,,gridrec,1279.5,370,,0,498,0,2001,0,0.00127,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w1_36keV_180deg_0p09s_60mm_1p3um_test_artefacts-20240525T210736/recon_phase,
,240525_pv036_w1_36keV_180deg_0p09s_60mm_1p3um_test_artefacts-20240525T210736,,1.3,,,36,2001,,,,gridrec,1279.5,370,,0,2160,0,2001,-0.0012,0.0017,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w1_36keV_180deg_0p09s_60mm_1p3um_test_artefacts-20240525T210736/recon_phase_16bit,
,240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525,,1.3,,,36,7201,,,,gridrec,1279.5,303,,0,200,0,7201,-0.0012,0.0017,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525/recon_phase_16bit_bottom,
,240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525,,1.3,,,36,7201,,,,gridrec,1279.5,303,,1799,2160,0,7201,-0.0012,0.0017,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525/recon_phase_16bit_top,
,240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525,,1.3,,,36,7201,,,,gridrec,1279.5,303,,1799,2160,0,7201,-0.0012,0.0017,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525/recon_phase_top,
,240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525,,1.3,,,36,7201,,,,gridrec,1279.5,303,,0,200,0,7201,-0.0012,0.0017,1,60,0.0005,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w2_36eV_360deg_0p09s_60mm_1p3um_7201angles-20240525T221525/recon_phase_bottom,
,240525_pv036_w1_36keV_180deg_0p09s_60mm_1p3um_test_artefacts-20240525T210736,,1.3,,,36,2001,,,,gridrec,1279.5,303,,0,498,0,2001,-0.0012,0.0017,1,60,0.0001,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w1_36keV_180deg_0p09s_60mm_1p3um_test_artefacts-20240525T210736/recon_phase_alpha_0.0001,
,240525_pv036_w2_36eV_180deg_0p09s_60mm_1p3um-20240525T215803,,1.3,,,36,2001,,,,gridrec,1279.5,303,,0,498,0,2001,-0.0012,0.0017,1,60,0.0002,1,/PETRA/SED/BEATS/SEM_6_recon/20235124/240525_pv036_w2_36eV_180deg_0p09s_60mm_1p3um-20240525T215803/recon_phase_alpha0.0002_stripe_sorting,
