Folder, File name,Sample file name,Energy (eV),Resolution,Exposition time,
,_00340,PV36,24500,2X,150ms,
,_00338,PV36,24500,2X,150ms,
,_00310,PV35,24500,2X,150ms,
,_00213,PV36,24500,10X,750ms,
,_00212,PV36,24500,10X,100ms,
,_00211,PV36,24500,10X,100ms,
,_00210,PV36,24500,10X,600ms,
,_00209,PV36,24500,10X,450ms,
,_00208,PV36,24500,10X,150ms,
,_00207,PV36,24500,10X,150ms,
,_00206,PV36,24500,10X,150ms,
,_00204,PV36,24523,10X,150ms,
,_00203,PV36,24523,10X,150ms,
,_00202,PV36,24523,10X,150ms,
,_00201,PV36,24523,10X,150ms,
,_00200,PV36,24523,10X,150ms,
,_00199,PV36,24523,10X,150ms,
,_00198,PV36,24523,10X,150ms,
,_00197,PV36,24523,10X,150ms,
,_00196,PV36,24523,10X,150ms,
,_00191,PV36,24523,10X,150ms,
,_00190,PV36,24523,10X,150ms,
,_00189,PV36,24523,10X,150ms,
,_00188,PV36,24523,10X,150ms,
,_00344,PV01,24500,2X,150ms,
,_00342,PV01,24500,2X,150ms,
,_00306,PV02,24500,2X,150ms,
,_00304,PV02,24500,2X,150ms,
,_00227,PV01,17000,10X,750ms,
,_00224,PV01,24500,10X,750ms,
,_00222,PV01,16000,10X,750ms,
,_00220,PV01,24500,10X,750ms,
PT4,_00296,PT410,24500,2X,150ms,
PT5,_00295,PT410,24500,2X,150ms,
PT6,_00293,PT410,24500,2X,150ms,
PT1,_00312,PT15,24500,2X,150ms,
PT1,_00308,PT12,24500,2X,150ms,
PT1,_00291,PT13,24500,2X,150ms,
PT1,_00289,PT13,24500,2X,150ms,
Pocc,_00396,Pocc2,24500,2X,150ms,
Pocc,_00395,Pocc2,24500,2X,150ms,
Pocc,_00394,Pocc3,24500,2X,150ms,
Pocc,_00392,Pocc3,24500,2X,150ms,
Pocc,_00390,Pocc4,24500,2X,150ms,
Pocc,_00388,Pocc4,24500,2X,150ms,
Pocc,_00386,Pocc6,24500,2X,150ms,
Pocc,_00385,Pocc6,24500,2X,150ms,
Pocc,_00383,Pocc7,24500,2X,150ms,
Pocc,_00381,Pocc7,24500,2X,150ms,
Pocc,_00379,Pocc8,24500,2X,150ms,
Pocc,_00378,Pocc9,24500,2X,150ms,
Pocc,_00376,Pocc9,24500,2X,150ms,
Pocc,_00374,Pocc10,24500,2X,150ms,
Pocc,_00372,Pocc10,24500,2X,150ms,
Pocc,_00370,Pocc11,24500,2X,150ms,
Pocc,_00368,Pocc11,24500,2X,150ms,
Pocc,_00365,Pocc5,24500,2X,150ms,
Pocc,_00363,Pocc5,24500,2X,150ms,
Pocc,_00360,Pocc1,24500,2X,150ms,
Pocc,_00358,Pocc1,24500,2X,150ms,
Pocc,_00356,Pocc13,24500,2X,150ms,
Pocc,_00328,Pocc flow,24500,2X,150ms,
Pocc,_00326,Pocc flow,24500,2X,150ms,
Pocc,_00324,Pocc no flow,24500,2X,150ms,
Pocc,_00322,Pocc no flow,24500,2X,150ms,
PM4,_00252,PM25,17000,10X,450ms,
PM4,_00250,PM25,24500,10X,450ms,
PM2,_00320,PM21,24500,2X,150ms,
PM2,_00318,PM21,24500,2X,150ms,
PM2,_00302,PM29,24500,2X,150ms,
PM2,_00300,PM29,24500,2X,150ms,
PM2,_00287,PM25,24500,2X,150ms,
